weight,size,cat,dog
16.02,57.26,0.0,1.0
14.14,66.06,0.0,1.0
1.76,13.71,0.0,0.0
2.09,14.85,0.0,0.0
15.45,64.72,0.0,1.0
7.67,44.36,1.0,1.0
1.41,22.0,0.0,0.0
11.74,48.17,1.0,1.0
11.1,55.7,1.0,1.0
9.61,50.8,1.0,1.0
9.48,57.31,1.0,1.0
9.01,52.29,1.0,1.0
17.31,64.64,0.0,1.0
11.48,76.55,0.0,1.0
4.0,45.0,1.0,0.0
17.17,59.9,0.0,1.0
11.45,44.68,1.0,1.0
5.17,31.5,1.0,0.0
3.11,38.14,1.0,0.0
4.87,34.43,1.0,0.0
17.92,65.77,0.0,1.0
9.9,46.37,1.0,1.0
2.77,14.89,0.0,0.0
11.34,60.04,1.0,1.0
16.2,56.02,0.0,1.0
16.18,55.73,0.0,1.0
8.96,42.65,1.0,1.0
4.83,32.37,1.0,0.0
10.81,65.0,1.0,1.0
20.19,61.48,0.0,1.0
10.95,49.2,1.0,1.0
10.49,60.96,1.0,1.0
4.85,28.7,1.0,0.0
9.9,67.14,0.0,1.0
8.95,54.52,1.0,1.0
7.64,48.26,1.0,1.0
2.46,14.08,0.0,0.0
10.6,54.25,1.0,1.0
15.87,45.61,0.0,1.0
21.43,66.53,0.0,1.0
4.45,33.76,1.0,0.0
6.03,31.16,1.0,0.0
14.39,76.06,0.0,1.0
18.12,73.59,0.0,1.0
10.74,48.95,1.0,1.0
1.82,16.11,0.0,0.0
4.57,30.89,1.0,0.0
1.87,15.29,0.0,0.0
3.9,25.0,1.0,0.0
13.09,69.97,0.0,1.0
2.21,13.89,0.0,0.0
4.05,34.35,1.0,0.0
12.18,66.66,0.0,1.0
4.55,32.0,1.0,0.0
15.22,72.51,0.0,1.0
11.48,74.56,0.0,1.0
15.59,77.64,0.0,1.0
4.68,40.9,1.0,0.0
14.07,59.4,0.0,1.0
9.48,59.18,1.0,1.0
5.58,35.75,1.0,0.0
13.69,63.07,0.0,1.0
5.17,36.66,1.0,0.0
4.08,35.35,1.0,0.0
1.52,15.58,0.0,0.0
3.63,34.55,1.0,0.0
11.78,69.73,0.0,1.0
1.68,11.42,0.0,0.0
3.97,35.34,1.0,0.0
10.06,39.44,1.0,1.0
4.66,30.51,1.0,0.0
4.74,39.86,1.0,0.0
5.61,41.33,1.0,0.0
8.16,62.04,1.0,1.0
13.65,52.33,0.0,1.0
5.6,45.0,1.0,0.0
2.66,20.2,0.0,0.0
2.44,17.69,0.0,0.0
4.04,43.44,1.0,0.0
5.05,32.65,1.0,0.0
2.83,14.52,0.0,0.0
6.0,31.22,1.0,0.0
6.12,33.62,1.0,0.0
1.54,15.72,0.0,0.0
12.1,51.99,1.0,1.0
3.76,25.0,1.0,0.0
1.95,17.4,0.0,0.0
1.81,12.77,0.0,0.0
5.0,35.37,1.0,0.0
4.62,32.53,1.0,0.0
9.97,46.83,1.0,1.0
4.68,36.61,1.0,0.0
9.61,47.67,1.0,1.0
3.91,41.39,1.0,0.0
15.15,65.37,0.0,1.0
12.3,70.2,0.0,1.0
2.48,17.86,0.0,0.0
2.25,12.35,0.0,0.0
4.12,30.09,1.0,0.0
15.38,79.41,0.0,1.0
11.57,38.0,1.0,1.0
7.5,49.09,1.0,1.0
10.3,47.34,1.0,1.0
7.61,52.4,1.0,1.0
2.61,8.0,0.0,0.0
17.08,72.87,0.0,1.0
4.23,32.2,1.0,0.0
10.95,52.51,1.0,1.0
9.02,49.33,1.0,1.0
1.88,9.06,0.0,0.0
1.12,14.75,0.0,0.0
13.56,74.19,0.0,1.0
2.26,12.84,0.0,0.0
8.13,49.17,1.0,1.0
11.38,55.16,1.0,1.0
1.49,17.86,0.0,0.0
9.52,45.59,1.0,1.0
11.87,59.46,0.0,1.0
3.86,32.8,1.0,0.0
11.87,53.53,1.0,1.0
10.74,64.62,0.0,1.0
9.3,46.34,1.0,1.0
16.22,47.41,0.0,1.0
16.81,67.68,0.0,1.0
4.14,31.61,1.0,0.0
4.37,40.49,1.0,0.0
10.9,50.19,1.0,1.0
13.34,70.06,0.0,1.0
15.12,73.65,0.0,1.0
16.64,66.62,0.0,1.0
16.03,76.36,0.0,1.0
11.8,67.74,0.0,1.0
15.65,64.4,0.0,1.0
4.67,25.0,1.0,0.0
3.75,33.65,1.0,0.0
16.2,70.27,0.0,1.0
1.58,19.85,0.0,0.0
10.55,49.05,1.0,1.0
3.37,41.83,1.0,0.0
10.12,49.58,1.0,1.0
2.26,16.78,0.0,0.0
8.02,54.31,1.0,1.0
11.33,49.41,1.0,1.0
9.52,48.72,1.0,1.0
10.68,46.37,1.0,1.0
4.51,30.18,1.0,0.0
13.66,55.57,1.0,1.0
9.91,44.96,1.0,1.0
10.65,47.98,1.0,1.0
1.67,17.34,0.0,0.0
11.24,74.35,0.0,1.0
3.93,41.39,1.0,0.0
5.74,30.62,1.0,0.0
9.63,54.45,1.0,1.0
1.8,15.84,0.0,0.0
11.28,53.05,1.0,1.0
13.72,79.36,0.0,1.0
14.92,67.0,0.0,1.0
2.67,29.97,1.0,0.0
6.22,37.01,1.0,0.0
11.37,41.8,1.0,1.0
1.94,15.86,0.0,0.0
14.16,71.56,0.0,1.0
4.39,34.9,1.0,0.0
4.37,38.45,1.0,0.0
18.76,66.49,0.0,1.0
10.65,50.85,1.0,1.0
19.39,68.65,0.0,1.0
14.64,80.0,0.0,1.0
4.01,36.22,1.0,0.0
2.2,11.31,0.0,0.0
4.86,32.18,1.0,0.0
13.85,77.4,0.0,1.0
2.48,13.08,0.0,0.0
1.82,17.24,0.0,0.0
2.16,14.68,0.0,0.0
8.44,38.0,1.0,1.0
10.08,57.14,1.0,1.0
10.33,53.48,1.0,1.0
4.23,32.64,1.0,0.0
4.17,34.7,1.0,0.0
9.0,63.66,0.0,1.0
10.97,55.74,1.0,1.0
4.29,39.25,1.0,0.0
4.42,32.05,1.0,0.0
17.86,62.75,0.0,1.0
5.83,35.58,1.0,0.0
13.11,70.13,0.0,1.0
1.78,13.31,0.0,0.0
7.0,55.61,1.0,1.0
2.35,14.59,0.0,0.0
3.51,36.55,1.0,0.0
12.22,60.53,0.0,1.0
4.31,40.29,1.0,0.0
16.48,79.77,0.0,1.0
14.36,69.86,0.0,1.0
2.06,11.68,0.0,0.0
1.68,11.3,0.0,0.0
10.27,51.84,1.0,1.0
5.52,38.43,1.0,0.0
14.32,70.19,0.0,1.0
1.94,21.69,0.0,0.0
1.77,17.01,0.0,0.0
2.55,14.84,0.0,0.0
8.52,49.0,1.0,1.0
13.93,73.35,0.0,1.0
2.34,8.59,0.0,0.0
1.72,17.03,0.0,0.0
12.84,66.48,0.0,1.0
10.34,43.38,1.0,1.0
15.62,66.87,0.0,1.0
4.11,28.76,1.0,0.0
17.07,61.44,0.0,1.0
2.04,19.84,0.0,0.0
4.98,27.42,1.0,0.0
6.4,26.21,1.0,0.0
1.85,17.59,0.0,0.0
4.55,40.82,1.0,0.0
13.07,58.34,0.0,1.0
12.08,50.34,1.0,1.0
1.22,17.43,0.0,0.0
15.18,64.6,0.0,1.0
12.18,80.0,0.0,1.0
10.59,55.95,1.0,1.0
2.03,15.86,0.0,0.0
5.24,37.52,1.0,0.0
10.48,54.07,1.0,1.0
4.27,32.47,1.0,0.0
10.82,56.52,1.0,1.0
4.75,36.62,1.0,0.0
10.96,41.77,1.0,1.0
13.37,69.48,0.0,1.0
0.82,15.48,0.0,0.0
11.94,68.52,0.0,1.0
4.66,35.23,1.0,0.0
5.08,28.93,1.0,0.0
9.16,54.33,1.0,1.0
15.82,52.8,0.0,1.0
3.91,26.48,1.0,0.0
16.36,60.5,0.0,1.0
3.08,31.77,1.0,0.0
17.46,72.02,0.0,1.0
3.68,35.06,1.0,0.0
1.33,13.97,0.0,0.0
13.11,53.23,1.0,1.0
1.98,16.33,0.0,0.0
9.94,50.02,1.0,1.0
3.81,39.36,1.0,0.0
4.48,36.12,1.0,0.0
16.86,59.78,0.0,1.0
10.48,42.22,1.0,1.0
4.28,32.04,1.0,0.0
1.96,9.75,0.0,0.0
0.94,16.91,0.0,0.0
15.56,80.0,0.0,1.0
15.25,59.98,0.0,1.0
4.18,39.5,1.0,0.0
15.94,60.75,0.0,1.0
4.77,38.35,1.0,0.0
2.5,12.77,0.0,0.0
2.21,13.16,0.0,0.0
12.52,41.49,1.0,1.0
12.73,64.23,0.0,1.0
16.54,64.21,0.0,1.0
9.58,38.2,1.0,1.0
15.84,61.52,0.0,1.0
13.81,70.4,0.0,1.0
2.17,14.41,0.0,0.0
4.71,41.19,1.0,0.0
4.91,45.0,1.0,0.0
2.26,14.07,0.0,0.0
4.73,30.86,1.0,0.0
18.39,74.51,0.0,1.0
2.76,14.14,0.0,0.0
3.37,28.4,1.0,0.0
15.77,66.02,0.0,1.0
16.74,58.46,0.0,1.0
8.28,48.74,1.0,1.0
15.05,60.86,0.0,1.0
3.51,35.65,1.0,0.0
1.86,17.69,0.0,0.0
1.99,9.37,0.0,0.0
2.75,10.26,0.0,0.0
14.94,70.97,0.0,1.0
7.8,53.05,1.0,1.0
11.66,48.96,1.0,1.0
3.57,36.4,1.0,0.0
5.08,41.84,1.0,0.0
4.27,37.69,1.0,0.0
1.63,14.7,0.0,0.0
10.85,51.61,1.0,1.0
1.91,16.53,0.0,0.0
2.16,15.87,0.0,0.0
4.71,32.75,1.0,0.0
14.04,68.67,0.0,1.0
13.13,53.25,1.0,1.0
10.52,48.88,1.0,1.0
8.48,51.11,1.0,1.0
4.72,27.85,1.0,0.0
4.1,35.92,1.0,0.0
15.82,80.0,0.0,1.0
13.78,80.0,0.0,1.0
13.38,59.01,1.0,1.0
1.73,16.67,0.0,0.0
4.19,36.92,1.0,0.0
4.71,32.99,1.0,0.0
13.61,49.84,1.0,1.0
10.92,46.72,1.0,1.0
4.94,29.08,1.0,0.0
14.61,60.87,0.0,1.0
2.74,18.94,0.0,0.0
8.92,48.75,1.0,1.0
10.62,50.09,1.0,1.0
11.41,51.7,1.0,1.0
2.92,16.22,0.0,0.0
9.27,44.58,1.0,1.0
2.4,17.86,0.0,0.0
4.0,31.54,1.0,0.0
2.57,15.43,0.0,0.0
4.83,34.29,1.0,0.0
2.69,20.33,0.0,0.0
3.93,43.78,1.0,0.0
3.79,43.16,1.0,0.0
10.3,50.46,1.0,1.0
4.74,39.06,1.0,0.0
1.87,8.0,0.0,0.0
2.29,15.92,0.0,0.0
10.3,41.52,1.0,1.0
2.32,12.28,0.0,0.0
15.49,71.29,0.0,1.0
11.97,69.88,0.0,1.0
8.75,42.82,1.0,1.0
2.64,14.37,0.0,0.0
5.26,33.75,1.0,0.0
3.69,36.0,1.0,0.0
2.2,13.21,0.0,0.0
14.06,70.67,0.0,1.0
2.24,18.79,0.0,0.0
21.11,60.1,0.0,1.0
4.98,40.6,1.0,0.0
3.13,37.94,1.0,0.0
1.95,15.27,0.0,0.0
18.98,64.73,0.0,1.0
14.86,53.55,0.0,1.0
2.1,14.55,0.0,0.0
1.91,13.06,0.0,0.0
10.07,53.39,1.0,1.0
0.54,9.35,0.0,0.0
4.62,28.48,1.0,0.0
1.76,18.0,0.0,0.0
1.91,18.91,0.0,0.0
9.03,52.24,1.0,1.0
1.78,18.4,0.0,0.0
2.1,17.12,0.0,0.0
11.28,53.6,1.0,1.0
2.35,14.42,0.0,0.0
5.31,27.33,1.0,0.0
1.5,11.42,0.0,0.0
4.02,35.03,1.0,0.0
1.9,14.82,0.0,0.0
2.58,17.12,0.0,0.0
1.77,19.12,0.0,0.0
4.48,42.66,1.0,0.0
4.54,37.88,1.0,0.0
10.83,52.95,1.0,1.0
3.94,34.2,1.0,0.0
9.82,56.79,0.0,1.0
17.73,66.55,0.0,1.0
2.39,8.0,0.0,0.0
11.55,46.32,1.0,1.0
2.07,10.78,0.0,0.0
10.16,47.81,1.0,1.0
5.03,31.13,1.0,0.0
4.93,38.05,1.0,0.0
4.74,32.0,1.0,0.0
12.23,75.23,0.0,1.0
2.97,13.89,0.0,0.0
4.86,29.82,1.0,0.0
11.47,48.06,1.0,1.0
2.45,15.28,0.0,0.0
1.64,15.23,0.0,0.0
4.17,37.22,1.0,0.0
1.6,16.53,0.0,0.0
4.65,34.24,1.0,0.0
13.24,54.99,0.0,1.0
7.0,53.22,1.0,1.0
16.41,73.43,0.0,1.0
15.64,61.3,0.0,1.0
10.05,62.37,1.0,1.0
10.72,53.18,1.0,1.0
8.29,40.32,1.0,1.0
9.87,60.36,1.0,1.0
2.71,15.02,0.0,0.0
14.4,80.0,0.0,1.0
9.71,49.91,1.0,1.0
14.49,70.45,0.0,1.0
13.22,64.24,0.0,1.0
4.68,27.03,1.0,0.0
1.42,15.96,0.0,0.0
9.55,52.76,1.0,1.0
1.47,14.96,0.0,0.0
9.06,45.99,1.0,1.0
1.52,12.57,0.0,0.0
19.16,63.23,0.0,1.0
3.58,41.77,1.0,0.0
3.63,26.43,1.0,0.0
8.22,57.18,1.0,1.0
1.99,16.49,0.0,0.0
12.44,57.58,1.0,1.0
9.51,48.5,1.0,1.0
13.89,59.9,0.0,1.0
16.0,70.67,0.0,1.0
9.47,76.63,0.0,1.0
4.83,43.14,1.0,0.0
3.52,39.8,1.0,0.0
1.6,17.76,0.0,0.0
9.06,41.13,1.0,1.0
4.63,44.16,1.0,0.0
1.93,18.17,0.0,0.0
4.61,30.3,1.0,0.0
12.87,51.1,1.0,1.0
12.74,69.97,0.0,1.0
18.6,54.79,0.0,1.0
19.62,67.95,0.0,1.0
5.48,42.26,1.0,0.0
4.84,38.59,1.0,0.0
5.26,30.07,1.0,0.0
16.78,66.95,0.0,1.0
4.17,29.81,1.0,0.0
15.27,67.23,0.0,1.0
1.55,13.6,0.0,0.0
1.94,12.47,0.0,0.0
2.08,10.29,0.0,0.0
2.35,16.08,0.0,0.0
2.21,16.27,0.0,0.0
4.15,30.96,1.0,0.0
8.16,59.37,1.0,1.0
14.33,65.23,0.0,1.0
1.77,15.25,0.0,0.0
2.61,15.13,0.0,0.0
12.46,55.6,1.0,1.0
1.7,16.5,0.0,0.0
4.56,32.12,1.0,0.0
12.06,45.93,1.0,1.0
1.99,13.37,0.0,0.0
1.59,13.04,0.0,0.0
2.46,15.8,0.0,0.0
2.27,13.58,0.0,0.0
12.45,58.83,1.0,1.0
2.94,18.93,0.0,0.0
1.43,19.92,0.0,0.0
17.06,69.67,0.0,1.0
2.37,16.97,0.0,0.0
9.2,49.67,1.0,1.0
12.56,79.17,0.0,1.0
1.74,12.04,0.0,0.0
17.9,71.98,0.0,1.0
15.47,79.38,0.0,1.0
4.54,34.46,1.0,0.0
8.0,57.04,1.0,1.0
4.53,26.97,1.0,0.0
2.57,13.77,0.0,0.0
8.42,52.35,1.0,1.0
10.42,56.44,1.0,1.0
18.36,59.15,0.0,1.0
1.83,10.86,0.0,0.0
2.22,13.35,0.0,0.0
4.04,36.02,1.0,0.0
1.2,10.63,0.0,0.0
7.46,62.34,1.0,1.0
12.48,72.12,0.0,1.0
12.39,57.2,1.0,1.0
13.57,62.54,0.0,1.0
2.59,16.68,0.0,0.0
12.62,54.04,1.0,1.0
10.55,60.58,0.0,1.0
15.12,58.13,0.0,1.0
9.03,59.25,1.0,1.0
8.87,56.24,1.0,1.0
12.42,62.94,1.0,1.0
14.83,68.04,0.0,1.0
12.53,60.86,0.0,1.0
12.47,70.46,0.0,1.0
4.17,43.22,1.0,0.0
2.55,13.04,0.0,0.0
2.37,14.19,0.0,0.0
11.63,71.73,0.0,1.0
12.55,80.0,0.0,1.0
10.59,42.74,1.0,1.0
11.05,45.48,1.0,1.0
1.47,16.55,0.0,0.0
2.5,18.3,0.0,0.0
1.85,16.34,0.0,0.0
11.58,44.69,1.0,1.0
1.52,12.99,0.0,0.0
1.59,10.46,0.0,0.0
10.02,51.11,1.0,1.0
2.31,18.8,0.0,0.0
9.96,50.17,1.0,1.0
2.95,22.0,0.0,0.0
9.36,49.14,1.0,1.0
2.23,12.74,0.0,0.0
4.15,34.26,1.0,0.0
4.85,35.39,1.0,0.0
10.34,57.43,1.0,1.0
4.96,37.57,1.0,0.0
12.59,57.28,1.0,1.0
3.65,25.24,1.0,0.0
12.53,52.33,1.0,1.0
3.88,45.0,1.0,0.0
12.46,55.98,1.0,1.0
2.01,16.64,0.0,0.0
2.81,14.25,0.0,0.0
3.0,12.4,0.0,0.0
2.06,16.86,0.0,0.0
13.87,47.6,1.0,1.0
3.48,36.16,1.0,0.0
7.39,53.35,1.0,1.0
3.95,34.96,1.0,0.0
9.13,46.61,1.0,1.0
11.49,50.39,1.0,1.0
10.16,53.98,1.0,1.0
15.53,70.14,0.0,1.0
10.39,45.47,1.0,1.0
3.0,13.58,0.0,0.0
4.86,34.46,1.0,0.0
14.35,73.53,0.0,1.0
1.7,15.64,0.0,0.0
14.86,66.17,0.0,1.0
2.76,21.51,0.0,0.0
2.01,17.91,0.0,0.0
4.33,38.79,1.0,0.0
4.34,27.4,1.0,0.0
1.49,15.37,0.0,0.0
9.77,62.08,1.0,1.0
1.78,20.88,0.0,0.0
11.31,50.72,1.0,1.0
10.85,40.85,1.0,1.0
10.98,55.51,1.0,1.0
9.81,53.89,1.0,1.0
7.64,46.5,1.0,1.0
4.5,31.41,1.0,0.0
1.89,9.59,0.0,0.0
9.78,52.52,1.0,1.0
8.08,52.92,1.0,1.0
15.03,54.12,0.0,1.0
10.09,38.04,1.0,1.0
5.24,36.54,1.0,0.0
4.49,42.93,1.0,0.0
1.44,12.92,0.0,0.0
2.04,14.38,0.0,0.0
4.75,34.69,1.0,0.0
3.86,31.2,1.0,0.0
4.76,32.0,1.0,0.0
2.24,17.89,0.0,0.0
3.99,34.36,1.0,0.0
17.54,65.22,0.0,1.0
1.89,13.13,0.0,0.0
15.14,64.87,0.0,1.0
17.52,64.44,0.0,1.0
9.0,61.43,0.0,1.0
8.87,43.73,1.0,1.0
19.17,69.06,0.0,1.0
11.09,52.62,1.0,1.0
13.47,60.43,0.0,1.0
5.07,39.75,1.0,0.0
3.73,39.13,1.0,0.0
10.72,59.55,0.0,1.0
7.84,44.17,1.0,1.0
4.57,45.0,1.0,0.0
1.73,18.37,0.0,0.0
