temperature,time,overcooked
197.6,8.1,0.0
322.1,26.2,1.0
169.9,8.7,0.0
353.0,25.3,1.0
166.2,9.5,0.0
172.1,9.2,0.0
344.0,25.8,1.0
179.4,9.6,0.0
355.1,25.8,1.0
343.0,26.7,1.0
332.2,26.4,1.0
343.4,25.9,1.0
182.2,10.0,0.0
339.1,26.8,1.0
183.2,9.5,0.0
351.8,24.3,1.0
166.2,10.6,0.0
334.8,27.8,1.0
163.3,8.6,0.0
332.0,28.0,1.0
162.4,10.0,0.0
173.3,10.4,0.0
165.4,9.9,0.0
172.5,9.9,0.0
182.4,9.5,0.0
173.0,9.0,0.0
191.8,8.4,0.0
328.2,25.3,1.0
168.0,9.7,0.0
175.7,8.8,0.0
162.0,9.3,0.0
351.6,25.3,1.0
339.3,23.9,1.0
193.4,11.5,0.0
302.6,24.9,1.0
166.9,10.1,0.0
332.3,26.2,1.0
333.2,24.9,1.0
176.8,10.2,0.0
155.1,10.8,0.0
169.7,10.1,0.0
175.3,9.8,0.0
169.9,9.6,0.0
342.9,24.0,1.0
167.4,11.5,0.0
189.4,8.7,0.0
302.5,27.8,1.0
146.3,11.9,0.0
185.2,9.0,0.0
342.8,25.5,1.0
348.3,24.9,1.0
345.0,26.4,1.0
344.6,25.1,1.0
175.5,9.4,0.0
175.8,9.5,0.0
230.0,15.0,0.0
189.8,9.9,0.0
165.6,9.8,0.0
335.4,25.8,1.0
330.5,26.8,1.0
323.9,24.0,1.0
168.1,10.3,0.0
183.2,10.5,0.0
340.8,25.1,1.0
340.4,25.6,1.0
326.3,26.4,1.0
353.0,27.1,1.0
181.9,9.7,0.0
170.2,10.0,0.0
175.4,10.1,0.0
173.9,10.3,0.0
178.4,10.7,0.0
177.3,10.6,0.0
337.1,27.8,1.0
327.1,26.8,1.0
183.8,10.1,0.0
166.0,9.9,0.0
170.1,9.9,0.0
182.6,9.4,0.0
181.9,9.5,0.0
166.7,8.5,0.0
170.7,10.3,0.0
347.7,26.4,1.0
180.4,12.1,0.0
350.6,25.2,1.0
320.0,23.0,1.0
336.7,26.3,1.0
341.5,25.6,1.0
183.1,8.7,0.0
346.4,26.6,1.0
336.8,26.3,1.0
346.0,21.6,1.0
322.0,26.6,1.0
166.2,9.9,0.0
324.3,26.7,1.0
326.8,26.8,1.0
178.9,10.5,0.0
176.6,10.0,0.0
177.4,9.3,0.0
342.9,26.0,1.0
175.9,9.4,0.0
179.4,10.2,0.0
181.6,8.9,0.0
337.9,26.7,1.0
334.4,23.9,1.0
333.0,25.7,1.0
169.6,9.2,0.0
323.6,27.3,1.0
337.1,23.6,1.0
329.1,25.0,1.0
341.9,26.8,1.0
355.3,23.8,1.0
183.9,12.2,0.0
173.9,10.2,0.0
181.7,10.0,0.0
337.6,25.0,1.0
343.0,25.8,1.0
340.3,25.2,1.0
344.9,25.3,1.0
167.7,9.9,0.0
340.5,24.8,1.0
174.9,8.1,0.0
327.7,25.7,1.0
337.8,27.3,1.0
184.4,9.3,0.0
339.0,26.0,1.0
190.2,9.9,0.0
324.4,28.6,1.0
180.2,10.2,0.0
339.9,26.1,1.0
185.4,9.8,0.0
340.9,24.6,1.0
165.0,9.3,0.0
338.5,26.1,1.0
340.5,25.2,1.0
170.4,9.0,0.0
329.2,24.6,1.0
336.2,25.9,1.0
167.9,10.1,0.0
324.9,26.2,1.0
176.0,9.5,0.0
339.3,25.6,1.0
178.5,8.8,0.0
358.9,25.7,1.0
168.5,9.4,0.0
346.8,24.9,1.0
348.1,25.5,1.0
177.4,9.8,0.0
328.4,28.7,1.0
352.9,23.9,1.0
355.2,31.0,1.0
353.0,27.0,1.0
162.9,9.9,0.0
354.6,25.0,1.0
328.2,24.4,1.0
183.5,9.6,0.0
173.9,10.0,0.0
170.9,9.9,0.0
323.1,25.4,1.0
332.3,26.7,1.0
185.9,9.0,0.0
189.0,7.8,0.0
339.5,28.7,1.0
155.2,9.7,0.0
365.1,24.7,1.0
225.0,15.0,0.0
186.5,10.5,0.0
181.2,8.7,0.0
341.0,25.9,1.0
180.8,11.0,0.0
171.1,10.2,0.0
323.7,26.2,1.0
335.6,24.6,1.0
354.5,31.6,1.0
170.2,9.0,0.0
328.3,25.8,1.0
175.0,10.7,0.0
175.9,9.5,0.0
333.6,25.3,1.0
340.8,25.0,1.0
346.4,25.3,1.0
337.7,26.8,1.0
341.2,24.6,1.0
338.9,27.7,1.0
324.3,27.5,1.0
167.0,10.1,0.0
318.0,26.9,1.0
162.8,9.9,0.0
176.0,9.0,0.0
169.9,10.0,0.0
182.4,9.4,0.0
201.8,11.0,0.0
341.9,24.6,1.0
199.6,11.3,0.0
351.4,25.8,1.0
337.1,24.6,1.0
331.7,28.2,1.0
174.5,10.1,0.0
323.5,30.6,1.0
186.4,8.8,0.0
319.7,28.6,1.0
345.8,27.8,1.0
184.9,9.1,0.0
353.6,27.3,1.0
326.2,26.8,1.0
333.2,25.8,1.0
186.6,9.4,0.0
179.9,9.2,0.0
321.7,26.7,1.0
309.0,30.3,1.0
342.6,25.2,1.0
331.6,27.0,1.0
196.0,9.1,0.0
349.4,26.7,1.0
347.9,25.9,1.0
344.9,25.7,1.0
169.5,10.5,0.0
360.8,25.3,1.0
343.8,26.3,1.0
183.1,10.3,0.0
327.5,27.2,1.0
341.1,25.9,1.0
179.8,10.5,0.0
173.6,9.3,0.0
181.0,9.7,0.0
342.0,25.6,1.0
204.9,10.8,0.0
179.0,10.1,0.0
332.7,26.8,1.0
339.0,27.2,1.0
188.9,10.8,0.0
340.3,27.0,1.0
354.6,27.2,1.0
342.5,23.6,1.0
159.7,9.9,0.0
335.7,29.5,1.0
333.0,23.3,1.0
180.1,9.3,0.0
335.7,26.3,1.0
337.4,27.5,1.0
176.1,9.1,0.0
173.1,8.1,0.0
347.6,29.0,1.0
332.1,25.7,1.0
364.6,24.5,1.0
181.2,10.7,0.0
156.9,9.3,0.0
351.2,25.7,1.0
338.4,27.3,1.0
346.7,27.5,1.0
176.9,9.9,0.0
339.8,26.0,1.0
189.1,8.5,0.0
175.6,9.6,0.0
176.0,10.2,0.0
337.6,26.9,1.0
319.4,26.2,1.0
337.8,25.6,1.0
350.8,25.6,1.0
322.1,25.2,1.0
171.1,10.1,0.0
378.4,30.4,1.0
345.9,27.4,1.0
340.0,25.7,1.0
191.2,8.8,0.0
184.4,10.4,0.0
159.2,10.3,0.0
326.6,24.2,1.0
352.5,25.1,1.0
337.8,26.7,1.0
176.6,9.8,0.0
175.9,9.3,0.0
336.0,26.2,1.0
325.8,25.5,1.0
337.9,27.7,1.0
339.4,27.0,1.0
342.3,27.2,1.0
345.5,26.8,1.0
171.3,9.9,0.0
155.2,6.5,0.0
329.4,24.0,1.0
275.0,21.0,1.0
338.5,27.9,1.0
328.5,27.2,1.0
178.6,9.7,0.0
201.3,10.0,0.0
329.2,25.3,1.0
170.6,10.4,0.0
179.5,11.0,0.0
338.1,24.7,1.0
178.3,10.3,0.0
163.1,10.9,0.0
324.9,24.1,1.0
170.6,10.8,0.0
322.8,27.0,1.0
148.1,10.1,0.0
332.1,25.7,1.0
182.1,8.8,0.0
169.6,9.4,0.0
163.8,8.0,0.0
186.2,8.9,0.0
181.8,9.7,0.0
179.8,10.1,0.0
169.6,9.6,0.0
175.9,10.1,0.0
329.6,26.1,1.0
348.8,27.6,1.0
322.2,28.6,1.0
179.7,9.3,0.0
351.5,26.4,1.0
329.8,26.8,1.0
164.4,9.9,0.0
341.7,24.1,1.0
359.8,23.1,1.0
203.6,11.2,0.0
186.2,10.5,0.0
175.6,9.1,0.0
172.4,10.1,0.0
321.5,25.8,1.0
341.2,25.8,1.0
175.2,10.6,0.0
329.1,26.1,1.0
335.1,24.8,1.0
338.8,25.7,1.0
195.8,8.0,0.0
331.6,22.5,1.0
354.9,27.4,1.0
345.0,25.2,1.0
343.4,27.2,1.0
360.9,26.1,1.0
179.8,9.2,0.0
167.6,10.1,0.0
347.7,26.6,1.0
341.0,28.3,1.0
163.2,9.5,0.0
178.4,10.1,0.0
333.3,25.8,1.0
169.4,9.5,0.0
166.0,10.3,0.0
335.7,25.8,1.0
390.0,33.0,1.0
373.2,26.3,1.0
159.2,9.7,0.0
317.1,24.6,1.0
339.3,25.5,1.0
175.4,10.2,0.0
352.2,25.8,1.0
352.9,26.8,1.0
178.1,10.2,0.0
364.9,22.2,1.0
329.0,24.7,1.0
174.6,9.3,0.0
165.0,11.1,0.0
330.9,27.5,1.0
300.1,27.7,1.0
178.4,9.1,0.0
159.8,9.2,0.0
177.9,9.2,0.0
339.7,27.1,1.0
348.3,26.7,1.0
209.9,12.6,0.0
340.4,25.9,1.0
316.2,25.4,1.0
177.3,9.4,0.0
343.0,25.9,1.0
175.1,9.6,0.0
330.3,26.6,1.0
341.9,25.8,1.0
174.7,10.5,0.0
175.1,9.2,0.0
187.8,10.7,0.0
337.8,24.9,1.0
350.6,25.6,1.0
177.2,8.9,0.0
161.3,10.2,0.0
329.9,25.3,1.0
344.5,24.4,1.0
348.8,25.1,1.0
341.2,25.6,1.0
180.2,10.2,0.0
159.9,7.5,0.0
173.2,11.7,0.0
334.5,28.3,1.0
344.6,26.0,1.0
185.7,10.7,0.0
168.3,9.6,0.0
167.5,9.3,0.0
360.7,29.3,1.0
175.3,9.8,0.0
194.4,11.0,0.0
321.7,26.0,1.0
166.3,10.9,0.0
179.2,10.9,0.0
187.4,9.1,0.0
351.1,25.7,1.0
178.0,9.1,0.0
175.3,10.6,0.0
202.9,9.4,0.0
340.0,25.4,1.0
173.5,9.0,0.0
353.5,24.6,1.0
355.9,26.8,1.0
171.2,9.4,0.0
309.8,28.6,1.0
338.6,25.4,1.0
176.9,10.0,0.0
335.8,26.5,1.0
353.3,25.2,1.0
183.9,9.4,0.0
343.4,25.5,1.0
190.3,10.3,0.0
337.5,26.7,1.0
342.4,25.4,1.0
179.5,9.3,0.0
173.7,10.2,0.0
172.7,9.9,0.0
196.7,8.8,0.0
336.0,25.5,1.0
173.6,10.2,0.0
161.5,9.4,0.0
164.9,10.6,0.0
343.0,25.5,1.0
163.4,9.4,0.0
332.2,27.3,1.0
169.9,9.0,0.0
343.0,26.4,1.0
339.1,25.9,1.0
340.8,24.8,1.0
170.2,9.4,0.0
170.9,9.9,0.0
326.0,23.8,1.0
344.6,26.5,1.0
170.5,6.1,0.0
164.2,9.5,0.0
341.6,26.7,1.0
177.1,9.4,0.0
335.5,26.9,1.0
338.1,24.9,1.0
312.2,25.6,1.0
340.2,24.6,1.0
186.3,9.6,0.0
338.8,29.1,1.0
175.1,9.9,0.0
175.3,9.6,0.0
146.1,8.9,0.0
350.5,26.7,1.0
180.5,9.6,0.0
174.8,10.0,0.0
323.4,26.9,1.0
337.6,24.7,1.0
325.4,26.7,1.0
180.6,10.1,0.0
146.5,9.7,0.0
346.3,26.2,1.0
345.6,31.1,1.0
334.6,25.7,1.0
175.9,10.2,0.0
335.9,28.7,1.0
354.8,29.3,1.0
184.4,9.1,0.0
340.8,26.1,1.0
332.7,28.1,1.0
180.7,10.6,0.0
174.4,10.1,0.0
178.5,8.2,0.0
183.1,9.3,0.0
161.2,8.9,0.0
341.7,25.8,1.0
339.1,26.3,1.0
344.1,25.2,1.0
174.6,9.6,0.0
329.6,24.8,1.0
176.5,9.8,0.0
175.1,9.2,0.0
326.1,26.9,1.0
166.5,8.1,0.0
172.1,10.4,0.0
355.4,24.9,1.0
334.1,25.4,1.0
168.6,10.0,0.0
346.6,25.6,1.0
171.8,10.8,0.0
334.6,27.3,1.0
182.3,9.3,0.0
172.6,10.4,0.0
169.2,9.6,0.0
156.7,9.8,0.0
177.2,10.6,0.0
347.3,26.6,1.0
345.4,28.8,1.0
166.6,9.6,0.0
339.4,26.3,1.0
342.2,26.3,1.0
184.7,9.9,0.0
334.7,25.5,1.0
335.2,27.7,1.0
169.9,9.7,0.0
165.9,9.5,0.0
176.1,7.9,0.0
335.4,27.6,1.0
342.9,26.5,1.0
331.9,27.3,1.0
333.9,27.1,1.0
339.6,26.6,1.0
341.2,24.4,1.0
309.9,25.2,1.0
183.7,11.2,0.0
343.6,27.9,1.0
330.5,25.8,1.0
167.7,10.3,0.0
178.5,10.9,0.0
175.3,11.1,0.0
335.0,26.0,1.0
177.6,10.1,0.0
321.4,24.6,1.0
340.7,24.7,1.0
342.8,27.1,1.0
339.4,25.8,1.0
344.4,24.5,1.0
326.7,25.2,1.0
324.3,26.7,1.0
135.0,8.0,0.0
194.2,9.8,0.0
171.1,9.9,0.0
172.6,8.9,0.0
183.2,10.5,0.0
337.9,23.0,1.0
172.8,9.0,0.0
323.1,27.4,1.0
339.1,26.8,1.0
172.7,10.2,0.0
172.2,10.3,0.0
329.8,27.2,1.0
336.3,25.7,1.0
191.7,10.5,0.0
170.1,10.2,0.0
332.6,27.7,1.0
178.7,9.2,0.0
329.8,25.8,1.0
163.2,9.8,0.0
344.5,25.6,1.0
176.4,10.2,0.0
172.2,8.7,0.0
194.8,9.8,0.0
345.0,24.3,1.0
380.0,30.0,1.0
173.3,10.2,0.0
191.4,10.4,0.0
339.0,25.8,1.0
161.9,8.9,0.0
175.0,9.5,0.0
332.6,27.8,1.0
175.0,10.8,0.0
365.0,30.0,1.0
316.5,27.1,1.0
181.7,10.2,0.0
175.6,9.1,0.0
181.0,10.3,0.0
340.6,27.8,1.0
171.5,9.3,0.0
175.6,9.0,0.0
182.3,9.9,0.0
175.4,12.1,0.0
333.1,26.5,1.0
330.7,26.4,1.0
169.7,10.0,0.0
179.4,9.6,0.0
172.3,9.8,0.0
360.4,24.6,1.0
349.8,25.7,1.0
177.4,9.8,0.0
189.2,10.6,0.0
333.3,26.7,1.0
333.8,24.2,1.0
336.1,27.5,1.0
323.6,27.4,1.0
345.9,26.6,1.0
357.8,23.6,1.0
325.9,25.5,1.0
336.6,25.8,1.0
220.0,14.0,0.0
150.1,9.1,0.0
340.0,24.7,1.0
331.0,25.9,1.0
185.3,9.8,0.0
332.8,26.2,1.0
340.7,26.4,1.0
328.6,26.7,1.0
339.1,26.8,1.0
332.6,26.5,1.0
187.2,10.3,0.0
339.5,25.4,1.0
333.8,27.1,1.0
211.3,10.8,0.0
173.8,10.3,0.0
318.8,24.7,1.0
339.2,26.9,1.0
311.7,24.2,1.0
359.6,27.7,1.0
189.7,10.2,0.0
350.0,28.0,1.0
177.2,9.3,0.0
300.0,22.0,1.0
327.2,27.9,1.0
342.9,27.5,1.0
328.4,26.0,1.0
343.3,26.0,1.0
176.7,8.7,0.0
165.2,9.3,0.0
178.7,11.2,0.0
170.8,9.9,0.0
177.5,10.0,0.0
175.6,9.2,0.0
169.4,9.7,0.0
181.4,11.0,0.0
183.1,11.0,0.0
366.0,23.4,1.0
159.5,9.9,0.0
155.6,10.0,0.0
333.5,26.3,1.0
311.3,25.6,1.0
334.3,25.9,1.0
332.2,25.9,1.0
164.8,9.8,0.0
176.0,10.1,0.0
359.7,23.8,1.0
342.8,24.1,1.0
182.0,9.9,0.0
341.3,26.7,1.0
169.7,10.1,0.0
181.5,10.3,0.0
348.6,26.4,1.0
181.6,9.7,0.0
160.9,9.1,0.0
171.7,10.2,0.0
188.9,11.9,0.0
170.0,10.0,0.0
170.6,10.9,0.0
175.6,10.6,0.0
339.8,26.6,1.0
325.2,28.6,1.0
188.5,8.3,0.0
309.8,27.5,1.0
345.9,28.3,1.0
175.2,10.8,0.0
329.5,27.1,1.0
342.7,26.6,1.0
337.3,27.3,1.0
163.6,9.5,0.0
336.3,25.6,1.0
169.0,10.8,0.0
180.6,9.5,0.0
343.8,24.6,1.0
171.6,9.2,0.0
337.7,24.4,1.0
336.2,25.8,1.0
180.8,9.0,0.0
374.4,25.3,1.0
175.7,8.8,0.0
169.8,9.5,0.0
184.6,9.7,0.0
167.9,8.5,0.0
334.0,25.8,1.0
332.9,27.8,1.0
345.5,32.1,1.0
335.0,27.2,1.0
324.9,25.2,1.0
339.6,25.0,1.0
345.0,26.6,1.0
330.0,25.0,1.0
171.6,10.0,0.0
181.0,9.5,0.0
176.0,10.5,0.0
341.8,25.5,1.0
345.5,28.6,1.0
332.2,27.8,1.0
345.0,27.0,1.0
340.0,26.4,1.0
348.3,25.2,1.0
333.5,26.6,1.0
283.7,30.2,1.0
341.4,29.0,1.0
189.1,11.1,0.0
171.5,11.5,0.0
339.8,26.4,1.0
310.0,23.0,1.0
175.6,11.3,0.0
327.0,24.3,1.0
326.1,26.8,1.0
352.5,26.3,1.0
181.3,8.3,0.0
333.3,25.7,1.0
320.1,28.2,1.0
180.3,10.2,0.0
178.3,9.4,0.0
168.8,10.5,0.0
345.3,23.1,1.0
173.8,9.4,0.0
340.6,26.1,1.0
174.8,10.0,0.0
250.0,18.0,1.0
337.9,27.7,1.0
176.4,9.5,0.0
179.2,12.5,0.0
177.1,10.6,0.0
345.3,24.6,1.0
335.2,24.3,1.0
193.0,7.0,0.0
169.2,9.7,0.0
177.2,9.3,0.0
339.9,26.8,1.0
167.9,9.6,0.0
168.2,10.0,0.0
343.4,28.1,1.0
182.7,10.1,0.0
167.4,8.9,0.0
336.1,24.9,1.0
326.2,26.8,1.0
340.5,26.8,1.0
167.2,10.8,0.0
174.1,11.3,0.0
350.9,26.4,1.0
168.6,8.7,0.0
196.4,9.1,0.0
181.8,8.3,0.0
338.1,24.4,1.0
299.4,28.8,1.0
175.8,10.1,0.0
177.7,10.7,0.0
330.1,26.0,1.0
167.7,10.4,0.0
163.8,9.9,0.0
181.8,9.4,0.0
335.9,27.5,1.0
175.9,9.2,0.0
340.3,25.5,1.0
180.5,8.6,0.0
177.1,10.8,0.0
324.2,26.9,1.0
343.9,27.4,1.0
330.7,28.1,1.0
189.8,9.3,0.0
170.1,8.9,0.0
171.0,11.3,0.0
343.6,26.3,1.0
175.8,10.3,0.0
322.8,25.0,1.0
167.1,9.9,0.0
333.5,25.7,1.0
350.8,27.7,1.0
348.7,21.7,1.0
179.6,10.7,0.0
334.4,25.9,1.0
175.7,9.0,0.0
189.7,9.8,0.0
332.7,24.8,1.0
337.6,27.7,1.0
166.2,8.5,0.0
338.9,27.1,1.0
335.7,26.3,1.0
334.2,26.3,1.0
345.6,26.6,1.0
337.0,28.7,1.0
180.7,9.0,0.0
338.0,27.3,1.0
174.1,10.0,0.0
344.0,26.1,1.0
179.1,10.5,0.0
316.1,26.1,1.0
161.0,8.8,0.0
337.7,26.4,1.0
343.0,26.3,1.0
178.0,9.7,0.0
333.6,27.8,1.0
330.0,25.5,1.0
169.7,11.1,0.0
170.1,9.1,0.0
296.7,27.8,1.0
337.4,27.4,1.0
336.2,25.6,1.0
173.7,11.2,0.0
335.1,25.8,1.0
344.8,23.7,1.0
341.8,27.5,1.0
345.2,24.3,1.0
327.2,23.4,1.0
170.7,10.3,0.0
332.9,25.1,1.0
337.5,24.4,1.0
326.4,29.6,1.0
168.6,8.7,0.0
342.8,25.7,1.0
178.2,9.9,0.0
331.9,25.6,1.0
346.3,26.6,1.0
320.7,27.4,1.0
175.0,9.9,0.0
165.9,10.5,0.0
323.1,25.1,1.0
337.8,26.4,1.0
168.2,10.1,0.0
341.2,27.2,1.0
149.6,9.0,0.0
179.1,9.6,0.0
177.6,9.3,0.0
353.9,26.9,1.0
180.8,10.1,0.0
172.0,10.1,0.0
170.2,11.0,0.0
177.2,9.7,0.0
347.7,24.8,1.0
358.5,27.0,1.0
188.5,9.8,0.0
331.7,26.2,1.0
334.2,24.6,1.0
170.6,9.6,0.0
174.5,9.3,0.0
331.5,28.0,1.0
180.3,10.2,0.0
339.2,25.6,1.0
161.2,8.5,0.0
181.2,8.9,0.0
330.0,26.5,1.0
190.9,8.6,0.0
170.7,14.1,0.0
161.3,9.3,0.0
175.8,8.8,0.0
344.5,26.6,1.0
345.6,25.5,1.0
182.4,9.8,0.0
176.9,8.6,0.0
332.9,25.3,1.0
340.2,26.4,1.0
185.2,10.6,0.0
163.7,10.4,0.0
183.0,10.3,0.0
330.8,26.6,1.0
165.5,9.5,0.0
181.7,8.8,0.0
179.6,9.2,0.0
348.8,30.6,1.0
344.7,28.4,1.0
340.1,25.9,1.0
356.7,27.5,1.0
345.1,25.6,1.0
175.6,11.1,0.0
332.5,25.6,1.0
171.6,10.1,0.0
326.7,25.2,1.0
173.8,9.5,0.0
176.2,8.0,0.0
171.0,9.9,0.0
343.1,25.1,1.0
334.3,24.5,1.0
200.1,8.9,0.0
331.2,24.5,1.0
174.5,9.1,0.0
181.0,10.2,0.0
359.9,26.3,1.0
175.2,9.3,0.0
321.6,30.5,1.0
187.9,8.8,0.0
334.2,27.5,1.0
158.9,10.9,0.0
170.6,9.9,0.0
337.9,26.4,1.0
170.9,9.1,0.0
340.0,25.0,1.0
341.0,26.3,1.0
184.4,9.8,0.0
181.0,6.9,0.0
337.0,27.6,1.0
173.6,9.6,0.0
343.9,25.0,1.0
166.7,9.9,0.0
178.8,11.0,0.0
323.7,25.7,1.0
338.6,25.3,1.0
165.9,10.4,0.0
314.1,26.9,1.0
346.4,23.9,1.0
353.4,28.0,1.0
172.5,9.5,0.0
331.1,26.6,1.0
333.8,26.5,1.0
179.4,9.9,0.0
185.0,10.4,0.0
171.0,9.9,0.0
178.1,10.1,0.0
347.0,23.8,1.0
177.6,10.1,0.0
171.6,9.4,0.0
345.5,26.6,1.0
172.8,10.3,0.0
333.4,23.9,1.0
179.8,10.1,0.0
169.2,10.1,0.0
186.6,9.6,0.0
172.1,9.5,0.0
168.4,9.9,0.0
166.2,8.8,0.0
181.1,10.5,0.0
333.1,27.8,1.0
362.2,30.7,1.0
180.2,9.9,0.0
342.3,29.6,1.0
333.2,27.9,1.0
341.0,28.0,1.0
184.2,9.2,0.0
172.2,10.5,0.0
186.6,9.8,0.0
177.3,8.8,0.0
179.7,9.9,0.0
346.5,22.8,1.0
170.1,9.5,0.0
160.9,9.5,0.0
177.0,10.3,0.0
186.4,9.8,0.0
163.3,10.7,0.0
180.0,10.0,0.0
336.4,26.2,1.0
335.4,25.7,1.0
358.9,26.4,1.0
171.9,9.9,0.0
163.0,10.6,0.0
354.7,21.8,1.0
173.3,9.4,0.0
152.9,12.7,0.0
317.8,22.8,1.0
333.1,25.6,1.0
322.9,25.9,1.0
340.2,26.0,1.0
420.0,34.0,1.0
336.2,25.4,1.0
337.6,25.3,1.0
166.9,9.7,0.0
175.0,9.0,0.0
195.9,10.4,0.0
173.0,8.2,0.0
190.5,10.5,0.0
337.3,27.6,1.0
346.4,24.8,1.0
335.8,25.2,1.0
164.4,9.9,0.0
343.9,25.8,1.0
321.8,25.0,1.0
185.0,10.0,0.0
361.0,25.3,1.0
177.2,10.0,0.0
179.1,10.0,0.0
183.8,9.0,0.0
168.7,9.6,0.0
179.1,9.7,0.0
184.3,9.5,0.0
177.1,10.3,0.0
179.2,10.6,0.0
179.6,10.6,0.0
328.3,25.7,1.0
337.6,28.7,1.0
175.1,9.2,0.0
338.7,26.0,1.0
193.2,8.4,0.0
347.7,25.3,1.0
172.9,9.6,0.0
181.4,9.1,0.0
188.6,9.3,0.0
177.2,10.0,0.0
349.5,26.7,1.0
167.1,9.6,0.0
166.0,8.3,0.0
345.3,25.0,1.0
167.2,9.6,0.0
176.8,10.0,0.0
304.3,22.7,1.0
211.4,8.5,0.0
181.3,8.7,0.0
350.1,24.4,1.0
180.2,11.2,0.0
328.8,26.1,1.0
177.4,9.4,0.0
354.2,22.0,1.0
186.1,8.8,0.0
341.3,25.4,1.0
163.1,9.4,0.0
340.8,27.0,1.0
338.7,27.3,1.0
160.6,11.0,0.0
333.0,27.2,1.0
165.7,9.8,0.0
176.6,10.1,0.0
181.7,10.2,0.0
331.5,24.8,1.0
173.4,8.4,0.0
178.3,9.7,0.0
176.6,9.4,0.0
171.9,9.8,0.0
155.0,8.0,0.0
348.7,25.9,1.0
336.5,26.3,1.0
344.3,26.4,1.0
334.0,26.0,1.0
165.0,9.5,0.0
332.2,27.8,1.0
148.1,10.1,0.0
343.6,27.0,1.0
164.9,10.2,0.0
335.1,25.0,1.0
363.4,26.0,1.0
167.6,11.1,0.0
175.1,9.1,0.0
174.1,9.6,0.0
343.4,25.8,1.0
170.1,8.9,0.0
180.6,9.2,0.0
323.0,24.6,1.0
167.8,10.0,0.0
